,,,,,,,,NNARR Contribution ------------------------------------>,,,,New Customer Contribution -------------------------->,,,,,,,,,,,,,,,,
,,,,M60,60,0.29,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M61,61,0.28,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M62,62,0.28,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M63,63,0.27,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M64,64,0.27,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M65,65,0.26,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M66,66,0.25,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M67,67,0.25,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,"$3,000",,,,,,,
,,,,M68,68,0.24,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M69,69,0.24,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M70,70,0.23,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M71,71,0.23,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M72,72,0.23,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M73,73,0.22,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M74,74,0.22,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M75,75,0.21,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M76,76,0.21,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M77,77,0.20,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M78,78,0.20,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M79,79,0.19,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M80,80,0.19,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M81,81,0.19,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M82,82,0.18,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M83,83,0.18,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M84,84,0.18,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
